entity,frequency
 ⚕ ️ Scientists,2
 Phase II study,2
 acalabrutinib,536
 patients,3766
 relapsedrefractory,70
 phase,312
 AcalabrutinibVenetoclax AV trial,2
 recruitment phase,2
 venetoclax acalabrutinib works,2
 MCL patients,8
   backs,2
 NICE,72
 use,270
 AstraZeneca,614
 Calquence,822
 CLL,1670
 England,18
 decisions,8
 Wales,8
 AstraZeneca Calquence acalabrutinib,36
 chemotherapyfree monotherapy,2
 chronic lymphocytic,536
 Superstar,2
 CLL patients,154
 drug,126
 Ibrutinib,1112
 UK Acalabrutinib,2
 Optimal Management,2
 HighRisk CLL,6
 Acalabrutinib March,2
 pm,86
 pmSpeaker,2
 Dr P G Subramanian Mumbai Speaker    Group Captain Dr Harshit Khurana PuneChair Dr S H,2
 Advani MumbaiModerator Dr M B Agarwal MumbaiLink,2
 Acalabrutinib,958
 forms,12
 CLL NICE,2
 monotherapy option,2
 adults,202
 with•a p   deletion,2
 TP,26
 mutation or•no p   deletion,2
 mutation,16
 fludarabine,24
 cyclophosphamide,14
 FCR,148
 bendamustine,80
 rituximab BR,2
 brand,8
 New article Phase,10
 study,294
 PATIENTS,40
 CHRONIC LYMPHOCYTIC LEUKAEMIA CLL,2
 UK,62
 NHS use,10
 BR,60
 pts TP mutdel,2
 Chair,6
 Trustees Marc Auckland,2
 Sky News,2
 Great news,50
   pts,10
 Safety,132
 Antitumor Activity,4
 RelapsedRefractory Bcell Malignancies,2
 Congress,6
 results,296
 ZUMA study,2
 RR mantel cell lymphoma,2
 morphology,2
 NewTrip Acalabrutinib Calquence,10
 treatment,1556
 Calquence Commercial,2
 PRETTY Lady,2
 Solidarity,2
 cancer drug acalabrutinib,40
 ICYMI,48
   TiP poster presentation,2
 IQVIA RDS Argentina SRL,2
 Argentina,2
 amp Prevention BV,2
 Pharma BV,2
 AstraZeneca AB Amgen,2
 role,224
 New article,1034
 CD,92
 addition,50
 BTK inhibitors,112
 comparación con ibrutinib,2
 LLC,10
 ELEVATERR trial,4
 efficacy,160
 safety tolerability profile,4
 CLL Research Acalabrutinib,2
 Analysis,122
 Cardiovascular,2
 Events,16
 MCL Survival,2
 Reason,6
 Discontinuation,4
 Mantle Cell Lymphoma Survival,2
 Acalabrutinib Discontinuation,2
 CALQUENCE Beneficial,2
 CLL Study Shows,2
      Number,2
 Mantle Cell Lymphoma Treatment Market,2
 Product Type Acalabrutinib JCAR,2
 EndUsersApplication,2
 Hospital Clinic Market Share Forecast Data InDepth Analysis,2
 review,52
 Acalabrutinib Calquence,24
 HTA ID,2
 National Centre,2
 Pharmacoeconomics,2
 News von,4
 ämie,10
 video,72
 Dr Danilov,14
 treatment option,24
 CLL SLL,26
 MCLWatch,2
 video interview,16
 Dr Graff,2
 evolving treatment landscape,12
 trial investigators,2
 ibrutinib,824
 Primary Efficacy Endpoint,4
 HeadtoHead Trial,18
 Chronic Lymphocytic Leukemia,4126
 NewTrip Acalabrutinib,2
 Japan,36
 News Acalabrutinib,6
 un nouveau,2
 atteints d’une émie Lymphoïde Chronique Retrouvez,2
 headtohead study,2
   drugs,6
 Impact,100
 therapy,192
 cell,16
 cohort,4
 failure,14
 Acalabrutinib monotherapy,46
 Noninferior PFS Atrial Fibrillation,2
 Noninferior PFS,2
 things,40
 pharma marketers,2
 Tuesday January,2
 Roundup   MMampM,2
 Medical Marketing,2
 Media,6
 CALQUENCE,246
 headtohead Trial,2
 Outcomes,154
 relapsed mantle cell lymphoma patients,2
 discontinuing,4
 European Medicines Agency Review,4
 Treatment,738
 Adult Patients,36
 Imbruvica,244
 ha raggiunto,4
 di efficacia nello studio,4
 testa contro ibrutinib nella leucemia linfocitica cronica,4
 アストラゼネカのカルケンス,2
 Calquence safety win,12
 leukemia trial showdown,10
 RelapsedRefractory CLL,44
 relapsed mantle cell   patients,2
 American Journal,8
 Hematology,50
 Wiley Online Library,6
 🆕   Topline results,2
 CALQUENCE Met Primary Efficacy Endpoint,8
 Neuro Central,2
 BrainSights,6
 iOS,6
 leukemia trial,2
 showdown,4
 AstraZenecas Calquence,196
 Johnson amp Johnsons Imbruvica,2
 progression,70
 type,64
 blood cancer,50
 latestage study,2
 AZN JNJ,2
 AZ,76
 AZN AstraZeneca,36
 win,14
 Eli Lilly,4
 heels,4
 AZN CALQUENCE,18
 Met Primary Efficacy Endpoint,6
 AZN,102
 BRIEFAstraZeneca,22
 AZN AstraZenecas Calquence,8
 AwesomeCapital AstraZeneca Calquence,6
 AstraZenecas CALQUENCE,2
 Primary Efficacy EndpointRelated Tickers,2
 AZN   AstraZenecas Calquence,8
 AZNAstraZenecas Calquence,2
 CLL treatmentAZN,2
 L CLL noninferior PFS,2
 Goldman belässt Astrazeneca auf,4
 Sell   Ziel,10
 Pence NEW YORK,8
 dpaAFX Analyser,8
 Die,16
 Goldman Sachs hat,8
 Einstufung für,6
 Astrazeneca angesichts positiver,4
 mit dem Medikament Calquence zur Behandlung,2
 AKTIENCHECK,2
 dpaAFX Goldman belässt Astrazeneca auf,4
 mit dem Medikament Calquence zur,2
 FINANZTREFF,2
 BRIEFAstraXeneca,4
 AstraZenecas leukaemia treatment,4
 approval,224
 Japan Calquence,4
 AZN Calquence,16
 Met Primary Endpoint,20
 IbrutinibMET PRIMARY EFFICACY ENDPOINT,2
 HEADTOHEAD TRIAL,4
 IBRUTINIB,20
 KEY SECONDARY ENDPOINT,2
 ATRIAL FIBRILLATION,4
 LiveSquawk AZN,2
 AstraZeneca Plc,2
 Calquence Met Primary Endpoint,4
 IbrutinibCalquence Met Primary Efficacy Endpoint,4
 HeadToHead Trial,4
 Chronic Lymphocytic Leukaemia,58
